business_id,name,categories,stars,text,sentiment
9SPwF-vRgtuHxciFxv5YLA,Soba,u'Restaurants,5,"[we, came, here, for, my, birthday, dinner, and, it, exceeded, my, expectations, ., soba, is, a, pan-asian, restaurant, and, they, definitely, showed, the, asian, influence, in, their, food, ., i, had, ordered, the, seared, rare, tuna, and, it, was, cooked, perfectly, while, my, boyfriend, went, with, the, salmon, entree, (, cooked, medium, rare, ), ., the, atmosphere, is, very, intimate, ,, with, low, lighting, and, candles, and, a, waterfall, wall, ., the, food, was, delicious, and, the, waiter, was, attentive, and, informative, ., would, definitely, go, back, !, definitely, one, of, my, new, favorite, restaurants, in, pittsburgh, .]",1
rgmptwPbBH1wLpiBHcbIhA,Harris Grill,u'Restaurants,4,"[how, have, i, not, reviewed, harris, grill, yet, !, ?, i, am, embarrassed, to, admit, how, many, times, i, have, been, here, ., actually, ,, i, probably, could, n't, even, figure, it, out, if, i, tried, ., this, is, a, top, happy, hour, spot, amongst, my, friends, ., you, just, ca, n't, beat, the, $, 3, frozen, cosmo, deal, ., i, ca, n't, say, i, 'm, usually, a, fan, of, bright, pink, slushy, drinks, ,, but, a, post-work, frozen, cosmo, (, or, three, ), on, the, patio, on, a, warm, day, ?, yes, ,, please, ., that, being, said, ,, ...]",1
rgmptwPbBH1wLpiBHcbIhA,Harris Grill,u'Restaurants,2,"[i, 've, visited, harris, 's, grill, a, few, times, over, the, past, 3, -, 4, years, and, every, time, i, leave, i, ask, myself, ``, why, do, people, love, this, place, so, much, !, ?, '', the, food, is, not, incredible, and, the, service, is, always, mediocre, at, best, ., minus, the, bacon, gimmicks, and, pretentious, shadyside, vibe, ..., this, place, is, an, average, bar/restaurant, .]",1
ucgQhC2-OzxSa1yX1I095g,Chapon's Greenhouse & Supply,u'Shopping,1,"[buyer, beware, !, in, addition, to, not, honoring, its, guarantees, ,, chapon, 's, also, has, poor, customer, service, and, rude, employees, ., last, fall, ,, my, mother, purchased, over, $, 750, of, plants, and, trees, from, chapon, 's, greenhouse, and, supply, ,, including, a, flowering, dogwood, tree, ., at, the, time, of, purchase, ,, she, was, told, the, tree, was, guaranteed, for, three, years, ., she, was, told, to, keep, her, receipt, ,, the, tag, from, the, tree, ,, and, to, register, the, tree, with, the, grower, ., she, did, all, three, ., the, tree, was, planted, on, the, date, ...]",1
NRS-Snzp3Izblw2OmmlsuQ,Best Buy,u'Shopping,1,"[trevor, violated, my, rights, !, !, if, my, son, told, trevor, mom, to, stop, while, leaving, a, store, ,, also, to, put, his, hands, in, trevor, mom, purse, to, see, if, she, stole, something, ., my, son, would, be, fired, ., his, mom, would, have, pursued, justice, and, acknowledged, and, vindicated, ., it, is, 11-27-2015, ., michelle, gaines, has, not, responded, to, 2, attempts, to, make, my, complain, sent, to, her, 11-18.., raven, phillips, has, not, responded, ., i, was, watching, security, ask, black, students, to, leave, apple, store, ., i, was, enraged, and, brought, to, tears, ., i, now, ...]",0
vIXUw1cLG84-m8LzOg3f-w,Champions,u'Restaurants,2,"[a, friend, from, chapel, hill, came, to, visit, us, yesterday, and, we, decided, to, take, him, to, downtown, charlotte, ., since, most, locations, were, closed, ,, we, decided, to, stop, at, champions, ,, it, was, either, that, or, hooters, ., the, environment, seemed, so, uninviting, ,, i, was, the, only, female, in, the, room, ,, but, its, a, sports, bar, so, whatever, ., we, all, ordered, food, from, their, ridiculously, priced, menu, ., food, quality, ,, meh, ., i, ordered, the, blt, which, was, about, $, 10, ., when, my, food, came, out, ,, the, chicken, was, cold, ., it, ...]",1
qxaoJ2cd7-cvEPTmSgBAyA,Uptown Cabaret,u'Nightlife,3,"[this, is, almost, always, the, last, stop, i, go, to, after, a, night, out, on, the, town, on, a, saturday, night, !, 2, am, breakfast, buffet, is, ideal, after, a, night, of, bar, hopping, ., i, get, a, pretty, awesome, breakfast, and, a, show, ., last, weekend, i, even, got, the, pleasure, of, seeing, a, stripper, fight, ., those, girls, are, wild, !]",1
IYNZXcNVXiCVavCrplXPlQ,DoubleTree By Hilton Hotel Charlotte,u'Event Planning & Services,5,"[great, first, impression, ., lobby, looks, very, clean, and, nice, ,, staff, are, friendly, ,, the, hallway, on, the, 8th, floor, is, bright, ,, clean, and, feels, cool, ,, not, warm, and, muggy, like, some, hotels, ., the, rooms, are, very, nice, and, contemporary, ,, with, nice, clean, corners, ., the, bathroom, is, clean, ,, one, of, the, best, i, 've, seen, ., the, ac, has, a, motion, sensor, which, is, annoying, ,, i, was, able, to, get, the, staff, to, bypass, it, and, i, was, able, to, get, the, temperature, down, to, 60, ., which, feels, very, pleasant, ., ...]",1
kAid56AY_laxGYslMdsYJw,Brixx Wood Fired Pizza,u'Restaurants,4,"[another, great, experience, at, brixx, !, dropped, in, here, for, dinner, last, night, and, for, the, first, time, i, actually, tried, their, wood, fired, chicken, salad, ., it, was, perfect, !, balsamic, dressing, ,, chestnuts, ,, and, great, grilled, chicken, really, stood, out, along, with, the, goat, cheese, ., they, serve, the, salads, in, chilled, bowls, and, that, 's, my, favorite, presentation, for, a, salad, ., the, contrast, of, the, cool, greens, with, the, warm, chicken, was, superb, ., service, was, great, and, we, had, several, visits, to, our, table, to, see, how, things, were, going, ., another, great, little, ...]",0
C9CF7p53Y0L5ErKRhhFhng,Savannah Red,u'Restaurants,4,"[staying, in, the, marriott, for, business, i, ordered, shrimp, and, grits, with, scalllops, and, they, came, from, the, restaurant, ., omg, !, to, die, for, ,, delish, !]",1
ZBQWSsUXwixFmm3lpegMiA,Discovery Place,u'Arts & Entertainment,4,"[great, job, on, the, remodeling, ,, folks, !, it, 's, better, than, new, ., i, took, the, twins, there, today, ., it, was, well, worth, it, ., if, you, and, your, kids, love, science, and, nature, museums, ,, this, is, charlotte, 's, finest, ., there, is, a, nice, blend, of, new, ,, updated, ,, and, old, exhibits, ., the, rainforest, exhibit, is, awesome, ., the, 3d, sharks, movie, is, great, ,, too, !, we, caught, the, imax, movie, about, aviation, ,, which, is, ,, if, you, can, get, beyond, the, fact, that, it, 's, sort, of, a, documercial, for, the, ...]",1
v96eOvQGYHukDu_UWqNl4A,Gardenia Restaurant,u'Restaurants,3,"[it, 's, a, good, ole, southern, home, cooking, joint, on, the, west, side, ., the, biggest, plus, is, the, prices, ., not, many, places, still, have, dinner, meal, for, less, than, $, 7, with, 2, sides, and, a, tea, (, their, dinner, specials, come, with, tea, ), ., food, is, typical, ., grilled, pork, chop, is, a, little, dry, and, tough, ., better, off, with, the, fried, pork, chop, ., and, when, i, said, pork, chop, i, meant, super, thin, cut, ones, ., country, fried, steak, 's, gravy, was, the, whitest, i, have, ever, seen, ..., thus, a, little, bland, ...]",1
oYo5e7TUAYGRdx_0rjohww,Red Sea Restaurant & Bar,u'Restaurants,4,"[i, came, to, red, sea, back, in, september, on, a, weekend, trip, to, charlotte, with, my, girlfriend, ., we, were, both, pleasantly, surprised, by, the, quality, of, the, food, ,, considering, the, appearance, of, the, restaurant, from, the, outside, ., the, interior, would, probably, best, be, described, by, the, word, ``, cozy, '', ,, but, others, might, call, it, cramped, ., when, we, first, arrived, (, around, 9pm, on, a, friday, ), the, tables, were, all, taken, and, our, server, placed, a, mesab, (, i, think, ), in, the, center, of, the, room, for, us, to, sit, at, ., i, ...]",0
3Q0QQPnHcJuX1DLCL9G9Cg,Charlotte Douglas International Airport,u'Hotels & Travel,4,"[easy, in, ..., .easy, out]",1
hIQRiE3UsYH7UsrsDwJwLA,Harper's Restaurant,u'Restaurants,1,"[i, had, the, worst, service, at, harpers, tonight, ., service, was, lousy, and, indicative, of, how, the, service, and, food, selections, continue, to, slip, ., i, dine, here, frequently, and, tonight, was, a, real, disappointment, !]",1
Y_OeiGhTm6ZEfZ1UQgM_wA,Musashi Japanese Restaurant,u'Restaurants,5,"[well, ,, here, goes, my, first, review, to, chronicle, my, life-long, love, affair, with, food, ., i, had, in, mind, trying, something, new, because, how, awfully, long, some, reviews, turn, out, to, be, -, kinda, like, the, length, of, this, introduction, ., so, ,, bottomline, ,, i, 'm, going, to, begin, with, a, five, words, or, less, review, ., authentic, ., attentive, ., explore, the, appetizers, ., this, place, fills, me, with, nostalgia, ., the, menu, selection, and, execution, remind, me, of, my, mom, 's, dishes, and, the, local, mom, &, pop, establishments, tucked, away, in, the, underbelly, of, japan, ...]",1
fuFnWpP7-vkcq7LR6E7-aA,YMCA,u'Local Services,3,"[this, ymca, is, tucked, away, off, of, albemarle, rd, ., it, 's, easy, to, miss, if, you, are, n't, looking, for, it, ., lots, of, amenities, ,, it, always, seems, like, the, children, that, are, around, the, area, are, enjoying, themselves, ., there, is, a, pool, ,, and, the, equipment, if, fairly, new, ., it, can, get, busy, at, peak, times, ,, but, seems, to, be, normal, for, a, y, branch, location, ., the, only, complaint, i, would, have, is, that, the, parking, lot, is, n't, that, well, lit, ,, and, it, get, 's, pretty, dark, ., there, is, a, ...]",1
p_HFt0I92MHDNPWvdtyEBA,Miguel's Restaurants,u'Restaurants,5,"[my, husband, and, i, were, left, stranded, in, charlotte, by, us, airways, ,, so, we, had, to, find, a, hotel, and, dinner, ., the, hotel, clerk, recommended, miguel, 's, and, we, are, glad, !, do, n't, let, the, slightly, rundown, look, of, the, building, discourage, you, from, eating, here, ., the, place, was, filled, with, people, in, both, their, inside, and, outside, dining, areas, when, we, arrived, around, 8, pm, ,, so, we, knew, the, food, had, to, be, good, ., my, hubby, ordered, a, plate, of, enchiladas, that, were, stuffed, full, of, chicken, and, he, said, the, sauce, was, ...]",0
i-tKO0n-1Tq6sTFUrhg9-Q,Wan Fu,u'Restaurants,3,"[gave, wan, fu, a, try, after, hearing/reading, good, reviews, and, my, mother-in-law, 's, request, for, chinese, for, her, birthday, dinner, ., we, were, the, first, folks, in, the, door, for, dinner, (, on, the, weekends, they, 're, closed, 3-4p, between, services, ), ., it, 's, a, very, clean, restaurant, with, three, separate, dining, rooms, to, make, it, feel, much, more, warm, &, intimate, than, the, windowless, exterior, may, imply, ., the, menu, 's, huge, with, most, dinner, prices, falling, between, $, 11.95, -, $, 15.95, ., certainly, something, for, everyone, ., while, portion, sizes, were, above-average, ,, i, was, n't, ...]",1
pabBnIObNHlmVkviQgnkGA,Papa John's Pizza,u'Restaurants,3,"[nice, pizza, 's, ., not, much, options, in, toppings, .]",1
UWtpIca-ub74r6Lgwfu0Og,University Volvo,u'Automotive,1,"[dealing, with, the, service, advisor, at, this, dealership, is, useless, ., they, make, promises, and, do, n't, keep, them, !, volvo, want, to, be, a, luxury, car, ,, but, they, have, a, lot, to, learn, on, how, to, be, a, luxury, car, dealership, ., good, luck, on, getting, warranty, work, done, at, this, place, ,, or, as, far, as, that, matters, ,, any, good, quality, work, ,, with, good, customer, service, !, evidently, ,, tolerance, level, is, very, high, ,, from, volvo, of, north, america, corporate, office, ,, for, low, achiever, dealers, ., i, think, they, can, take, a, lesson, ...]",1
iTjwgc3rHS5k3GptqIp2Uw,Johnny Burrito,u'Restaurants,5,"[johnny, burrito, is, the, best, burrito, in, charlotte, ,, bar, none, ., this, guy, used, to, work, at, one, of, the, charlotte, banking, giants, ,, and, left, to, start, his, own, restaurant, because, no, one, uptown, made, a, burrito, like, he, wanted, ., this, is, one, of, the, most, popular, lunch, places, with, the, uptown, bankers, --, by, noon, the, line, stretches, out, the, door, ,, down, the, hall, ,, past, the, florist, to, a, soda, shop, that, must, be, jealous, of, johnny, 's, business, ., you, can, get, regular, or, large, burritos, or, salads, ,, and, your, choice, of, ...]",1
Zc2IwSzGY63zkyhfNrr7HA,T-Bones On the Lake,u'Restaurants,4,"[the, view, !, love, to, watch, the, boats, on, the, lake-have, to, be, seated, in, the, deck, ., why, anyone, eats, inside, is, a, mystery, to, me, ., this, place, is, all, about, location-you, do, not, come, here, for, the, food, ., the, food, is, okay-not, horrible-the, salads, are, good, ., you, come, here, to, view, the, lake, ,, people, watch, ,, and, drink, ., always, meet, fun, ,, talkative, people, ., very, casual, ., car, parking, lot, is, good, and, the, boat, dock, seems, adequate, ., the, kids, like, the, ducks, and, turtles, that, hang, around, ., they, have, ...]",1
KFJ1jBfFkRfyn3AoAUl3YQ,Hardee's,u'Restaurants,2,"[worst, drive, thru, service, ever, ..., .they, did, n't, tell, me, the, total, cost, of, my, order, till, i, got, up, to, the, window, ., it, took, a, couple, mins, ., before, anyone, even, came, to, the, window, ,, and, then, i, had, to, sit, there, for, almost, 10, mins, before, i, got, my, food, ., a, drive, thru, is, suppose, a, little, quicker, service, of, getting, your, food, ., and, the, food, was, not, worth, the, price, i, paid, for, it, ., this, is, not, the, first, time, i, 've, had, this, kind, of, service, there, ., the, people, ...]",1
Y_RXxkTlzXmir57sp2SvSA,Chaussee Automotive,u'Automotive,4,"[i, 've, only, been, here, once, ,, but, it, came, highly, recommended, ., the, automechanics, are, known, for, not, inflating, the, prices, too, much, ., i, booked, for, a, tuesday, on, the, previous, thursday, ., they, were, done, in, a, few, hours, .]",1
LkFYWBEdmHE05UkfIkK4EA,Ford's Gym,u'Active Life,5,"[i, have, been, a, member, of, this, gym, on, and, off, for, the, last, several, years, ., my, only, complaint, is, that, they, only, have, one, location, ., no, frills, ,, no, 'health, club, ', feel, and, nobody, bothering, you, about, anything, ., there, is, more, than, enough, machines, ,, racks, ,, etc, to, be, able, to, get, a, great, workout, in, ., waiting, for, equipment, is, rare, ., show, up, ,, get, strong, ,, leave, ,, repeat, .]",1
spiYqne1kXzYQxDTZfKt2g,Fat Jacks Barbecue,u'Restaurants,5,"[i, travel, a, lot, and, no, matter, what, city, i, find, myself, in, ,, i, make, sure, to, hit, up, a, bbq, spot, at, least, once, during, the, trip, ., each, and, every, one, of, those, visits, are, compared, to, my, bbq, gold, standard, ,, fat, jack, 's, in, monona, ., i, 'm, actually, leaving, on, sunday, for, yet, another, trip, and, i, can, say, ,, without, fail, ,, on, bbq, night, ,, one, of, my, travel, buddies, at, the, table, will, ask, ,, ``, so, ..., how, 'd, it, compare, to, fat, jack, 's, ?, '', chances, are, my, ...]",1
yrBo3c3OTKVO4H1ttBxadw,Pooley's,u'Restaurants,5,"[great, atmosphere, for, any, sporting, event, or, place, to, meet, some, friends, ., large, open, area, with, plenty, of, seating, and, tv, 's, .]",1
vXxsDHzRvQEhK6YbNs3Nww,Meineke Car Care Center,u'Automotive,5,"[great, service, shop, ,, the, owner, bob, runs, the, counter, ., very, straight, forward, ,, no, fluff, car, repair, shop, ., i, take, all, my, fleet, vehicles, here, for, repairs/, oil, changes, when, needed, .]",1
iCOvcfVRfi-f05aeqBLpKg,Geovanti's,u'Restaurants,4,"[it, is, true, ,, other, than, the, chicken, strips, this, place, sucks, ., i, 've, had, the, pizza, here, ,, it, 's, just, okay, ,, nothing, you, ca, n't, get, at, papa, johns, or, domino, 's, though, ., my, sister, had, the, italian, beef, from, here, and, said, it, was, n't, good, either, ., butttt, ..., ., you, must, not, discredit, this, establishment, solely, because, of, this, fantastic, ,, orgasmic, ,, delicious, fried, creation, they, refer, to, as, chicken, strips, !, here, are, some, tips, for, ordering, :, -, if, you, 're, intoxicated, in, some, form, ,, you, may, be, ...]",0
H0D2HYqLd9MRCq68rtbTyQ,Olive Garden Italian Restaurant,u'Restaurants,2,"[another, date, night, !, this, one, was, n't, my, choice, though, ,, and, knowing, how, i, feel, about, chains, as, well, as, my, high, standards, for, italian, cuisine, ,, i, bit, my, tongue, and, hoped, for, the, best, ., we, had, to, wait, about, 10, minutes, on, a, tuesday, night, to, be, seated, ., apparently, olive, garden, is, a, hot, commodity, in, champaign, ..., ., we, were, seated, and, i, was, quite, indecisive, about, what, to, get, ., i, settled, on, a, build-your-own-pasta, with, alfredo/cream, sauce, and, added, italian, sausage, ., for, my, choice, of, soup, ,, i, got, the, ...]",0
IUhO58Il7gUEjl1RMEncHA,Farren's Pub & Eatery,u'Nightlife,4,"[finally, went, here, after, hearing, how, good, it, was, ., overall, ,, i, was, pleased, ., i, 'm, a, firm, believer, that, burgers, can, only, be, so, good, ., that, being, said, ,, these, guys, make, a, pretty, good, burger, ., i, got, a, bacon, burger, with, bleu, cheese, crumbles, ., the, meat, was, cooked, almost, perfectly, and, i, got, a, generous, heap, of, cheese, on, top, ., i, almost, could, n't, taste, the, bacon, though, ..., i, would, suggest, they, kick, it, up, a, notch, ., i, found, it, odd, that, the, default, side, is, tortilla, chips, ., they, ...]",1
1T2rnvl67Gk9Uc0gzsCKQA,Joe's Brewery,u'Restaurants,1,"[ew, ., sticky, floors, ,, poor, service, and, always, a, grimy, guy, outside, waiting, to, verbally, assault, you, ., no, thank, you, ., my, friends, came, here, to, get, burgers, so, i, waited, outside, with, them, ., the, waitress, ,, i, know, not, her, name, ,, was, incredibly, rude, and, inattentive, ., she, spent, nearly, 1, hour, and, 45, minutes, flirting, with, a, table, of, guys, right, in, front, of, us, ,, without, checking, up, on, our, table, ., hello, ,, rude, waitress, ., nobody, tipped, ,, and, the, food, was, lukewarm, by, the, time, she, served, us, ., we, ...]",0
h9xdY1NO4GnNijNChTy-8A,Bacaro,u'Restaurants,3,"[the, steak, was, excellent, ., but, i, ordered, artichokes, for, the, table, and, they, were, scrawny, and, there, were, only, 2, not, much, taste, ., i, had, had, them, the, night, before, at, radio, maria, 's, and, they, were, delish, ., also, the, price, was, way, too, high, for, this, type, of, italian, food, in, downstate, illinois, .]",1
Y293fHh5SZ0_9BZm4M6BCg,Matador Restaurant,u'Restaurants,3,"[six, of, us, stopped, in, here, for, lunch, earlier, this, week, ., our, service, was, actually, quite, good, ,, maybe, because, we, got, there, at, about, 11:30, ., an, hour, later, the, place, was, jam, packed, ., they, do, have, a, take, out, counter, if, you, 're, in, a, time, crunch, ., they, had, quite, the, variety, on, their, menu, ,, greek, ,, burgers, ..., even, grilled, cheese, !, my, friends, told, me, they, 'd, disown, me, if, i, ordered, grilled, cheese, at, a, mexican, restaurant, ,, so, i, got, the, chicken, fajita, salad, ., this, salad, was, so, big, ...]",0
QsvRjgQacMMFf8dit7qqDw,New Garden Restaurant,u'Restaurants,4,"[got, to, say, that, if, i, had, n't, read, the, yelp, reviews, ,, i, would, not, have, gone, in, this, place, ., the, area, definately, looks, sketch, ,, but, the, food, was, amazing, ,, large, portions, ,, great, prices, ., would, recommend, to, all, !, !, do, n't, judge, a, book, by, the, cover]",1
qsWxbgQwuomXvMseg23DGg,Hooters,u'Restaurants,1,"[walked, in, to, have, some, quick, appetizers, before, a, movie, ., we, were, sat, immediately, which, was, nice, being, it, is, mother, 's, day, ., we, sat, down, no, waitress, came, to, ask, for, our, drinks, or, introduce, herself, ., we, waited, for, about, 30, minutes, before, i, had, to, get, up, and, ask, another, waitress, to, bring, our, waitress, whom, i, did, n't, know, who, it, was.., still, after, no, waitress, after, 20, minutes, and, the, place, was, not, even, busy, ., we, just, got, up, and, left, ., horrible, customer, service, !, !, !, !]",1
2I666dqzs1XB6xigIKa9bA,Tom's Tavern & 1929 Grill,u'Restaurants,3,"[eh, ..., ok, here, is, the, deal, ., they, were, maybe, smart, to, stick, with, dishes, that, are, impossible, to, toally, screw, up, ., the, two, dishes, reccomended, by, our, server, (, eliseo, ,, who, was, a, dream, by, the, way, ), were, fish, and, chips, ,, and, the, burger, ., neither, sucked, ..., but, neither, made, me, go, wow, ., the, cole-slaw, was, not, very, tasty, to, me, or, my, dining, companion, ., it, sortof, tased, like, the, mouthful, of, aqua-net, i, would, get, as, a, child, when, walking, into, the, cloud, of, it, while, my, mom, got, ready, ...]",1
NdHDqKjNyeocNRShjUPyZQ,Cali Nails,u'Beauty & Spas,5,"[this, place, is, the, best, ., my, nail, guy, even, gave, me, his, cell, phone, number, so, i, can, text, him, when, i, 'm, coming, in, to, make, sure, they, have, a, spot, for, me, ., my, acrylics, are, gorgeous, and, jimmy, always, takes, great, care, of, me, ., i, wo, n't, go, anywhere, else, .]",0
